base_name,source_type,source_label,connection_type,connection_label,target_type,target_label,connection_id,source_shape_id,target_shape_id
Ensemble2,Satellite,default,Hub-to-Sat,,Hub,Parent,Ensemble2.7BRsjSB82dXbHQxhyXmk-4,Ensemble2.7BRsjSB82dXbHQxhyXmk-12,Ensemble2.7BRsjSB82dXbHQxhyXmk-7
Ensemble2,Hub,Parent,Hub-to-Link-N,,Link,Link,Ensemble2.7BRsjSB82dXbHQxhyXmk-5,Ensemble2.7BRsjSB82dXbHQxhyXmk-7,Ensemble2.7BRsjSB82dXbHQxhyXmk-9
Ensemble2,Hub,Child,Hub-to-Link-1,,Link,Link,Ensemble2.7BRsjSB82dXbHQxhyXmk-6,Ensemble2.7BRsjSB82dXbHQxhyXmk-10,Ensemble2.7BRsjSB82dXbHQxhyXmk-9
Ensemble2,Hub,Parent,Hub-to-Sat,,Satellite,other,Ensemble2.7BRsjSB82dXbHQxhyXmk-13,Ensemble2.7BRsjSB82dXbHQxhyXmk-7,Ensemble2.7BRsjSB82dXbHQxhyXmk-8
Ensemble2,Satellite,default,Hub-to-Sat,,Hub,Child,Ensemble2.7BRsjSB82dXbHQxhyXmk-14,Ensemble2.7BRsjSB82dXbHQxhyXmk-11,Ensemble2.7BRsjSB82dXbHQxhyXmk-10
Ensemble2,Satellite,Pasta,Hub-to-Sat,,Hub,Nudel,Ensemble2.7BRsjSB82dXbHQxhyXmk-17,Ensemble2.7BRsjSB82dXbHQxhyXmk-16,Ensemble2.7BRsjSB82dXbHQxhyXmk-15
Ensemble2,Hub,Nudel,Hub-to-Link-1,,Link,Link,Ensemble2.7BRsjSB82dXbHQxhyXmk-18,Ensemble2.7BRsjSB82dXbHQxhyXmk-15,Ensemble2.7BRsjSB82dXbHQxhyXmk-9
Standard Inbound ADAPT,none,none,self precedence,none,none,none,Standard Inbound ADAPT.none,Standard Inbound ADAPT.none,Standard Inbound ADAPT.none
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Client,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-17,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-16,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-15
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Fiege Location,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-20,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-19,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-18
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Advice,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-23,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-22,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-21
Standard Inbound,Hub,Advice,Hub-to-Link-1,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-25,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-21,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-24
Standard Inbound,Hub,Fiege Location,Hub-to-Link-N,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-26,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-18,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-24
Standard Inbound,Hub,Client,Hub-to-Link-N,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-27,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-15,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-24
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Advice Line,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-30,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-29,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-28
Standard Inbound,Hub,Advice Line,Hub-to-Link-1,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-33,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-28,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-32
Standard Inbound,Hub,Advice,Hub-to-Link-N,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-34,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-21,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-32
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Article,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-37,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-36,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-35
Standard Inbound,Hub,Advice Line,Hub-to-Link-1,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-39,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-28,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-38
Standard Inbound,Hub,Article,Hub-to-Link-N,,Link,Link,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-40,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-35,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-38
Standard Inbound,Hub,Advice Line,Hub-to-Sat,,Satellite,Process Status,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-3,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-28,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-2
Standard Inbound,Hub,Advice,Hub-to-Sat,,Satellite,Process Status,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-5,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-21,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-1
Standard Inbound,Satellite,Process Status,Hub-to-Sat,,Reference,Process Status,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-7,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-1,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-6
Standard Inbound,Reference,Process Status,Hub-to-Sat,,Satellite,Process Status,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-8,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-6,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-2
Standard Inbound,Satellite,default,Hub-to-Sat,,Hub,Transport,Standard Inbound.XAUylolUDNEYOAg-yCa5-4,Standard Inbound.XAUylolUDNEYOAg-yCa5-3,Standard Inbound.XAUylolUDNEYOAg-yCa5-2
Standard Inbound,Hub,Transport,Hub-to-Link-N,,Link,Link,Standard Inbound.XAUylolUDNEYOAg-yCa5-5,Standard Inbound.XAUylolUDNEYOAg-yCa5-2,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-32
